"ly" Verbs		Length	|	Verbs	Length	|	Adjectives	Length	|	Nouns		Length	|	Superlatives	Length
dankly			6       |   tailor	6       |   wry			3       |   fat			3       |   deepest			7
darkly			6       |   tackle	6       |   able		4       |   fee			3       |   densest			7
deafly			6       |   swivel	6       |   acid		4       |   few			3       |   dullest			7
dearly			6       |   switch	6       |   ajar		4       |   fix			3       |   easiest			7
deeply			6       |   swerve	6       |   arid		4       |   fly			3       |   edgiest			7
deftly			6       |   survey	6       |   avid		4       |   foe			3       |   eeriest			7
direly			6       |   supply	6       |   away		4       |   fog			3       |   evilest			7
doubly			6       |   summon	6       |   baby		4       |   fun			3       |   fairest			7
dourly			6       |   suffer	6       |   bald		4       |   fur			3       |   falsest			7
dozily			6       |   submit	6       |   bare		4       |   gap			3       |   fastest			7
drably			6       |   sublet	6       |   base		4       |   gas			3       |   firmest			7
drolly			6       |   subdue	6       |   bats		4       |   god			3       |   fondest			7
dually			6       |   stroke	6       |   bent		4       |   gun			3       |   fullest			7
easily			6       |   strive	6       |   best		4       |   guy			3       |   gravest			7
eerily			6       |   string	6       |   blue		4       |   hat			3       |   hardest			7
evenly			6       |   strike	6       |   bold		4       |   hit			3       |   haziest			7
fairly			6       |   stride	6       |   born		4       |   hot			3       |   highest			7
feebly			6       |   stress	6       |   both		4       |   ice			3       |   ickiest			7
finely			6       |   stream	6       |   buff		4       |   ink			3       |   kindest			7
firmly			6       |   streak	6       |   busy		4       |   ion			3       |   laciest			7
flatly			6       |   strand	6       |   calm		4       |   jam			3       |   largest			7
fondly			6       |   strain	6       |   cave		4       |   jar			3       |   laziest			7
foully			6       |   stitch	6       |   chic		4       |   job			3       |   leanest			7
foxily			6       |   stifle	6       |   cold		4       |   joy			3       |   longest			7
freely			6       |   steady	6       |   cool		4       |   key			3       |   loosest			7
gamely			6       |   starve	6       |   cove		4       |   kid			3       |   loudest			7
gently			6       |   stable	6       |   cozy		4       |   lab			3       |   maddest			7
gladly			6       |   squirt	6       |   curt		4       |   law			3       |   meanest			7
glibly			6       |   squirm	6       |   cute		4       |   lay			3       |   meekest			7
glumly			6       |   squint	6       |   daft		4       |   leg			3       |   mildest			7
gorily			6       |   squeal	6       |   damn		4       |   let			3       |   nearest			7
grimly			6       |   squeak	6       |   damp		4       |   lie			3       |   neatest			7
hardly			6       |   squash	6       |   dank		4       |   lip			3       |   noblest			7
hazily			6       |   square	6       |   dark		4       |   log			3       |   nosiest			7
highly			6       |   sprout	6       |   dead		4       |   low			3       |   numbest			7
hourly			6       |   sprint	6       |   deaf		4       |   man			3       |   oiliest			7
hugely			6       |   spring	6       |   dear		4       |   map			3       |   pinkest			7
humbly			6       |   spread	6       |   deep		4       |   men			3       |   poorest			7
jingly			6       |   sprawl	6       |   deft		4       |   mix			3       |   puniest			7
justly			6       |   splice	6       |   dire		4       |   mom			3       |   rashest			7
keenly			6       |   splash	6       |   dour		4       |   mud			3       |   reddest			7
kindly			6       |   spirit	6       |   down		4       |   nap			3       |   richest			7
lamely			6       |   spiral	6       |   drab		4       |   net			3       |   rosiest			7
lastly			6       |   soften	6       |   dual		4       |   nut			3       |   saddest			7
lately			6       |   sneeze	6       |   dull		4       |   oil			3       |   sickest			7
lazily			6       |   snatch	6       |   dumb		4       |   one			3       |   slowest			7
likely			6       |   smudge	6       |   each		4       |   pan			3       |   softest			7
limply			6       |   smooth	6       |   east		4       |   pay			3       |   sourest			7
lordly			6       |   slouch	6       |   easy		4       |   pen			3       |   spriest			7
loudly			6       |   sketch	6       |   echo		4       |   pet			3       |   stalest			7
lushly			6       |   single	6       |   edgy		4       |   pie			3       |   tallest			7
mainly			6       |   signal	6       |   epic		4       |   pig			3       |   tartest			7
meanly			6       |   sicken	6       |   even		4       |   pin			3       |   tautest			7
meekly			6       |   shroud	6       |   evil		4       |   pop			3       |   tersest			7
merely			6       |   shrink	6       |   fair		4       |   pot			3       |   tidiest			7
mildly			6       |   shriek	6       |   fake		4       |   put			3       |   tiniest			7
mostly			6       |   shower	6       |   fast		4       |   sky			3       |   ugliest			7
mutely			6       |   shiver	6       |   few,		4       |   war			3       |   vaguest			7
namely			6       |   shield	6       |   fine		4       |   way			3       |   vainest			7
nearly			6       |   shelve	6       |   firm		4       |   wit			3       |   warmest			7
neatly			6       |   sheath	6       |   five		4       |   airs		4       |   wariest			7
nicely			6       |   shadow	6       |   flat		4       |   ants		4       |   weakest			7
nimbly			6       |   settle	6       |   fond		4       |   arch		4       |   wettest			7
nosily			6       |   select	6       |   foul		4       |   area		4       |   whitest			7
numbly			6       |   seethe	6       |   four		4       |   arms		4       |   wildest			7
openly			6       |   seduce	6       |   foxy		4       |   army		4       |   zaniest			7
orally			6       |   secure	6       |   free		4       |   arts		4       |   angriest		8
overly			6       |   season	6       |   full		4       |   arty		4       |   battiest		8
partly			6       |   search	6       |   game		4       |   atom		4       |   beadiest		8
pertly			6       |   scurry	6       |   gamy		4       |   aunt		4       |   blackest		8
poorly			6       |   sculpt	6       |   gape		4       |   baby		4       |   blandest		8
primly			6       |   scroll	6       |   glad		4       |   back		4       |   blankest		8
purely			6       |   screen	6       |   glib		4       |   bags		4       |   bleakest		8
rankly			6       |   scream	6       |   glum		4       |   bait		4       |   blondest		8
raptly			6       |   scrawl	6       |   gold		4       |   bake		4       |   bluntest		8
rarely			6       |   scrape	6       |   good		4       |   ball		4       |   bossiest		8
rashly			6       |   scorch	6       |   gory		4       |   band		4       |   brashest		8
really			6       |   school	6       |   gray		4       |   bank		4       |   briefest		8
richly			6       |   sample	6       |   grey		4       |   barn		4       |   briskest		8
rosily			6       |   salute	6       |   grim		4       |   bars		4       |   broadest		8
rudely			6       |   saddle	6       |   grot		4       |   base		4       |   brownest		8
safely			6       |   sadden	6       |   half		4       |   bass		4       |   bulkiest		8
sanely			6       |   rustle	6       |   hard		4       |   bath		4       |   bumpiest		8
simply			6       |   rumple	6       |   hazy		4       |   bats		4       |   burliest		8
slowly			6       |   rumble	6       |   head		4       |   bead		4       |   bushiest		8
smugly			6       |   ruffle	6       |   high		4       |   beam		4       |   cheapest		8
snugly			6       |   rotate	6       |   hold		4       |   bean		4       |   choicest		8
softly			6       |   rocket	6       |   hole		4       |   bear		4       |   cleanest		8
solely			6       |   ripple	6       |   holy		4       |   beat		4       |   clearest		8
sorely			6       |   riddle	6       |   home		4       |   beds		4       |   coarsest		8
sourly			6       |   rework	6       |   hope		4       |   beef		4       |   corniest		8
steely			6       |   reward	6       |   huge		4       |   beer		4       |   craziest		8
subtly			6       |   revolt	6       |   hurt		4       |   bees		4       |   crispest		8
surely			6       |   revoke	6       |   icky		4       |   begs		4       |   cruelest		8
tamely			6       |   revive	6       |   idle		4       |   bell		4       |   curliest		8
tautly			6       |   revise	6       |   iron		4       |   belt		4       |   daffiest		8
thinly			6       |   revile	6       |   just		4       |   bend		4       |   dandiest		8
tidily			6       |   review	6       |   keen		4       |   bike		4       |   dingiest		8
trimly			6       |   revert	6       |   kind		4       |   bill		4       |   dirtiest		8
unduly			6       |   revere	6       |   knit		4       |   bird		4       |   dizziest		8
vainly			6       |   reveal	6       |   lacy		4       |   bite		4       |   dustiest		8
vastly			6       |   revamp	6       |   lair		4       |   blow		4       |   earliest		8
verily			6       |   return	6       |   lake		4       |   blue		4       |   emptiest		8
viably			6       |   retort	6       |   lame		4       |   boat		4       |   faintest		8
warily			6       |   retire	6       |   last		4       |   body		4       |   fanciest		8
warmly			6       |   retell	6       |   late		4       |   boil		4       |   farthest		8
weakly			6       |   retake	6       |   lazy		4       |   bomb		4       |   furthest		8
weekly			6       |   retain	6       |   lead		4       |   bond		4       |   feeblest		8
wholly			6       |   resume	6       |   lean		4       |   bone		4       |   fiercest		8
widely			6       |   result	6       |   left		4       |   book		4       |   fieriest		8
wildly			6       |   resort	6       |   less		4       |   boot		4       |   filmiest		8
wisely			6       |   resist	6       |   lewd		4       |   boss		4       |   flakiest		8
yearly			6       |   resign	6       |   life		4       |   bowl		4       |   flattest		8
zanily			6       |   reside	6       |   like		4       |   bows		4       |   foamiest		8
acutely			7       |   resent	6       |   limp		4       |   boys		4       |   foggiest		8
adeptly			7       |   resell	6       |   live		4       |   bulb		4       |   frailest		8
affably			7       |   rescue	6       |   long		4       |   buns		4       |   frankest		8
alertly			7       |   reread	6       |   lost		4       |   burn		4       |   freshest		8
aloofly			7       |   repute	6       |   loud		4       |   bush		4       |   funniest		8
amiably			7       |   report	6       |   lush		4       |   buss		4       |   furriest		8
angrily			7       |   repeat	6       |   main		4       |   cake		4       |   fussiest		8
audibly			7       |   repeal	6       |   male		4       |   call		4       |   fuzziest		8
awfully			7       |   repair	6       |   many		4       |   calm		4       |   gabbiest		8
baggily			7       |   reopen	6       |   maze		4       |   camp		4       |   gaudiest		8
bawdily			7       |   renege	6       |   mean		4       |   cans		4       |   gauntest		8
beadily			7       |   render	6       |   meek		4       |   cape		4       |   gawkiest		8
beastly			7       |   rename	6       |   mere		4       |   caps		4       |   gentlest		8
blandly			7       |   remove	6       |   mild		4       |   card		4       |   giddiest		8
blankly			7       |   remind	6       |   mini		4       |   care		4       |   goofiest		8
bleakly			7       |   remedy	6       |   more		4       |   cars		4       |   grandest		8
blindly			7       |   remark	6       |   most		4       |   cart		4       |   greatest		8
bluntly			7       |   remand	6       |   much		4       |   case		4       |   greenest		8
bossily			7       |   remain	6       |   mute		4       |   cash		4       |   grimiest		8
brashly			7       |   relish	6       |   near		4       |   cast		4       |   grossest		8
bravely			7       |   relent	6       |   neat		4       |   cats		4       |   gruffest		8
briefly			7       |   relate	6       |   next		4       |   cave		4       |   gustiest		8
briskly			7       |   rejoin	6       |   nice		4       |   cell		4       |   gutsiest		8
broadly			7       |   reject	6       |   nine		4       |   cent		4       |   hairiest		8
bumpily			7       |   regret	6       |   nook		4       |   chef		4       |   handiest		8
cannily			7       |   regard	6       |   nosy		4       |   chin		4       |   happiest		8
capably			7       |   regain	6       |   null		4       |   chip		4       |   hardiest		8
cattily			7       |   refute	6       |   numb		4       |   city		4       |   harshest		8
cheaply			7       |   refuse	6       |   oily		4       |   clam		4       |   hastiest		8
chiefly			7       |   refund	6       |   okay		4       |   clan		4       |   heaviest		8
civilly			7       |   reform	6       |   only		4       |   claw		4       |   heftiest		8
cleanly			7       |   refine	6       |   open		4       |   club		4       |   hoarsest		8
clearly			7       |   refill	6       |   oral		4       |   clue		4       |   humblest		8
clerkly			7       |   reduce	6       |   oval		4       |   coal		4       |   huskiest		8
closely			7       |   redeem	6       |   pale		4       |   coat		4       |   itchiest		8
cockily			7       |   redden	6       |   past		4       |   code		4       |   jazziest		8
courtly			7       |   recoup	6       |   pert		4       |   coil		4       |   jerkiest		8
crackly			7       |   record	6       |   pink		4       |   cold		4       |   jolliest		8
crassly			7       |   recoil	6       |   plus		4       |   comb		4       |   juiciest		8
crazily			7       |   reckon	6       |   pool		4       |   cook		4       |   lightest		8
crisply			7       |   recite	6       |   poor		4       |   copy		4       |   littlest		8
crossly			7       |   recess	6       |   prim		4       |   cord		4       |   lousiest		8
crudely			7       |   recede	6       |   puny		4       |   cork		4       |   lowliest		8
cruelly			7       |   recall	6       |   pure		4       |   corn		4       |   luckiest		8
curably			7       |   rebuke	6       |   rank		4       |   cost		4       |   lumpiest		8
dandily			7       |   rebuff	6       |   rare		4       |   cows		4       |   merriest		8
dazedly			7       |   reason	6       |   rash		4       |   crew		4       |   messiest		8
densely			7       |   ravage	6       |   real		4       |   crib		4       |   mistiest		8
dingily			7       |   rattle	6       |   rich		4       |   crow		4       |   moistest		8
dirtily			7       |   ration	6       |   ripe		4       |   cubs		4       |   moldiest		8
dizzily			7       |   ratify	6       |   rock		4       |   cups		4       |   moodiest		8
dowdily			7       |   quiver	6       |   rosy		4       |   dads		4       |   muddiest		8
drizzly			7       |   quench	6       |   rude		4       |   dare		4       |   muggiest		8
durably			7       |   puzzle	6       |   safe		4       |   dark		4       |   murkiest		8
eagerly			7       |   pursue	6       |   salt		4       |   data		4       |   mushiest		8
earthly			7       |   purify	6       |   same		4       |   date		4       |   neediest		8
emptily			7       |   punish	6       |   sane		4       |   dawn		4       |   niftiest		8
equably			7       |   pummel	6       |   shut		4       |   days		4       |   nimblest		8
equally			7       |   pucker	6       |   sick		4       |   deal		4       |   noisiest		8
erectly			7       |   propel	6       |   slim		4       |   dear		4       |   nuttiest		8
exactly			7       |   prompt	6       |   slow		4       |   debt		4       |   perkiest		8
faintly			7       |   profit	6       |   smug		4       |   deep		4       |   pettiest		8
falsely			7       |   prefer	6       |   snug		4       |   deer		4       |   plainest		8
fancily			7       |   preach	6       |   soft		4       |   desk		4       |   plumpest		8
fatally			7       |   praise	6       |   sole		4       |   diet		4       |   plushest		8
fierily			7       |   powder	6       |   sore		4       |   dime		4       |   politest		8
fifthly			7       |   pounce	6       |   sour		4       |   dips		4       |   primmest		8
finally			7       |   ponder	6       |   spry		4       |   dirt		4       |   proudest		8
firstly			7       |   polish	6       |   such		4       |   dish		4       |   puffiest		8
fishily			7       |   police	6       |   sure		4       |   disk		4       |   pushiest		8
fixedly			7       |   poison	6       |   tall		4       |   dock		4       |   quickest		8
flakily			7       |   pocket	6       |   tame		4       |   dogs		4       |   quietest		8
fluidly			7       |   plunge	6       |   tart		4       |   doll		4       |   rainiest		8
focally			7       |   pledge	6       |   taut		4       |   doom		4       |   raspiest		8
foggily			7       |   please	6       |   that		4       |   door		4       |   rattiest		8
frailly			7       |   plague	6       |   thin		4       |   dose		4       |   remotest		8
frankly			7       |   pierce	6       |   this		4       |   dots		4       |   riskiest		8
freckly			7       |   pickle	6       |   tidy		4       |   drag		4       |   ritziest		8
freshly			7       |   phrase	6       |   tied		4       |   draw		4       |   roomiest		8
fugally			7       |   pester	6       |   time		4       |   drop		4       |   roughest		8
funnily			7       |   permit	6       |   tiny		4       |   drug		4       |   roundest		8
fussily			7       |   perish	6       |   trim		4       |   drum		4       |   rustiest		8
fuzzily			7       |   pepper	6       |   ugly		4       |   duck		4       |   saltiest		8
gaudily			7       |   pencil	6       |   used		4       |   duke		4       |   sandiest		8
gauntly			7       |   patrol	6       |   vain		4       |   dump		4       |   sappiest		8
gawkily			7       |   patent	6       |   vast		4       |   dusk		4       |   sassiest		8
ghostly			7       |   parrot	6       |   veil		4       |   dust		4       |   sauciest		8
giddily			7       |   parody	6       |   very		4       |   duty		4       |   scaliest		8
goofily			7       |   parley	6       |   vile		4       |   ears		4       |   scarcest		8
grandly			7       |   pardon	6       |   warm		4       |   ease		4       |   scariest		8
gravely			7       |   parade	6       |   wary		4       |   east		4       |   securest		8
greatly			7       |   pamper	6       |   weak		4       |   edge		4       |   seediest		8
grimily			7       |   paddle	6       |   well		4       |   eggs		4       |   serenest		8
grossly			7       |   overdo	6       |   west		4       |   elfs		4       |   severest		8
gruffly			7       |   outrun	6       |   what		4       |   elks		4       |   shadiest		8
gustily			7       |   outlaw	6       |   wide		4       |   ends		4       |   shakiest		8
handily			7       |   ordain	6       |   wild		4       |   envy		4       |   sharpest		8
happily			7       |   oppose	6       |   wily		4       |   exam		4       |   shiniest		8
hardily			7       |   offend	6       |   wiry		4       |   exit		4       |   shortest		8
harshly			7       |   occupy	6       |   wise		4       |   eyes		4       |   showiest		8
hastily			7       |   obtain	6       |   wood		4       |   face		4       |   silkiest		8
heavily			7       |   obsess	6       |   wool		4       |   fact		4       |   silliest		8
heftily			7       |   oblige	6       |   work		4       |   fail		4       |   simplest		8
huffily			7       |   object	6       |   worn		4       |   fall		4       |   sleekest		8
humanly			7       |   nuzzle	6       |   zany		4       |   fame		4       |   slickest		8
humidly			7       |   number	6       |   acrid		5       |   fang		4       |   slimmest		8
huskily			7       |   notify	6       |   adept		5       |   fans		4       |   slimiest		8
ideally			7       |   notice	6       |   adult		5       |   farm		4       |   smallest		8
ignobly			7       |   nibble	6       |   alert		5       |   fast		4       |   smartest		8
inanely			7       |   nestle	6       |   alien		5       |   fate		4       |   snuggest		8
inaptly			7       |   negate	6       |   alike		5       |   fear		4       |   soggiest		8
inertly			7       |   needle	6       |   alive		5       |   feed		4       |   sorriest		8
irately			7       |   narrow	6       |   alone		5       |   feel		4       |   sparsest		8
jadedly			7       |   mutter	6       |   aloof		5       |   feet		4       |   spiciest		8
jazzily			7       |   mutate	6       |   angry		5       |   fibs		4       |   spikiest		8
jerkily			7       |   muster	6       |   antsy		5       |   file		4       |   squarest		8
jointly			7       |   muscle	6       |   avian		5       |   fill		4       |   starkest		8
jollily			7       |   murmur	6       |   awake		5       |   film		4       |   steepest		8
largely			7       |   murder	6       |   aware		5       |   fire		4       |   sternest		8
legally			7       |   mumble	6       |   awful		5       |   fish		4       |   stiffest		8
legibly			7       |   muffle	6       |   balmy		5       |   fist		4       |   stillest		8
levelly			7       |   muddle	6       |   basic		5       |   flag		4       |   subtlest		8
lightly			7       |   motion	6       |   batty		5       |   flan		4       |   sulkiest		8
lividly			7       |   modify	6       |   beady		5       |   flea		4       |   sunniest		8
locally			7       |   misuse	6       |   beefy		5       |   flow		4       |   surliest		8
loosely			7       |   mislay	6       |   black		5       |   fogs		4       |   sweetest		8
lousily			7       |   mirror	6       |   bland		5       |   fold		4       |   swiftest		8
lovably			7       |   mingle	6       |   blank		5       |   folk		4       |   tackiest		8
loyally			7       |   mentor	6       |   bleak		5       |   food		4       |   tangiest		8
lucidly			7       |   mellow	6       |   blind		5       |   fool		4       |   tardiest		8
luckily			7       |   meddle	6       |   blunt		5       |   foot		4       |   tastiest		8
luridly			7       |   mature	6       |   bored		5       |   fork		4       |   teeniest		8
majorly			7       |   matter	6       |   bossy		5       |   form		4       |   testiest		8
merrily			7       |   master	6       |   brash		5       |   fowl		4       |   thickest		8
messily			7       |   marvel	6       |   brave		5       |   frog		4       |   thinnest		8
moistly			7       |   maroon	6       |   brick		5       |   fuel		4       |   tightest		8
monthly			7       |   market	6       |   brief		5       |   fund		4       |   toughest		8
moodily			7       |   mangle	6       |   briny		5       |   furs		4       |   trimmest		8
morally			7       |   manage	6       |   brisk		5       |   gain		4       |   wackiest		8
muddily			7       |   lumber	6       |   broad		5       |   gait		4       |   weariest		8
mushily			7       |   lounge	6       |   brown		5       |   game		4       |   weediest		8
mutedly			7       |   loosen	6       |   bulky		5       |   gate		4       |   weirdest		8
naively			7       |   locate	6       |   bumpy		5       |   gaze		4       |   windiest		8
nasally			7       |   litter	6       |   burly		5       |   gear		4       |   wispiest		8
nastily			7       |   listen	6       |   bushy		5       |   gene		4       |   wittiest		8
nightly			7       |   linger	6       |   caged		5       |   gift		4       |   wooziest		8
ninthly			7       |   lessen	6       |   cagey		5       |   girl		4       |   wordiest		8
noisily			7       |   lavish	6       |   cheap		5       |   gist		4       |   youngest		8
notably			7       |   launch	6       |   chewy		5       |   give		4       |   yummiest		8
orderly			7       |   lament	6       |   chief		5       |   glad		4       |   zestiest		8
overtly			7       |   knight	6       |   civil		5       |   glow		4       |
perkily			7       |   jumble	6       |   clean		5       |   glue		4       |
piously			7       |   juggle	6       |   clear		5       |   goal		4       |
pithily			7       |   jostle	6       |   close		5       |   goat		4       |
plainly			7       |   invoke	6       |   cocky		5       |   gold		4       |
proudly			7       |   invite	6       |   corny		5       |   golf		4       |
pushily			7       |   invest	6       |   crass		5       |   good		4       |
quickly			7       |   invert	6       |   crazy		5       |   goon		4       |
quietly			7       |   invent	6       |   crisp		5       |   grab		4       |
rabidly			7       |   invade	6       |   cross		5       |   grip		4       |
rapidly			7       |   intern	6       |   crude		5       |   guns		4       |
readily			7       |   intend	6       |   cruel		5       |   guys		4       |
regally			7       |   insure	6       |   curly		5       |   hair		4       |
rightly			7       |   insult	6       |   curvy		5       |   half		4       |
rigidly			7       |   insist	6       |   daffy		5       |   hall		4       |
riskily			7       |   insert	6       |   daily		5       |   hand		4       |
roughly			7       |   injure	6       |   dandy		5       |   hang		4       |
roundly			7       |   inject	6       |   dazed		5       |   hare		4       |
rowdily			7       |   inhale	6       |   dense		5       |   harm		4       |
royally			7       |   ingest	6       |   dingy		5       |   hate		4       |
rurally			7       |   infuse	6       |   dirty		5       |   hats		4       |
sassily			7       |   inform	6       |   dizzy		5       |   head		4       |
saucily			7       |   infest	6       |   domed		5       |   heat		4       |
scantly			7       |   infect	6       |   dowdy		5       |   hell		4       |
scarily			7       |   induce	6       |   dress		5       |   help		4       |
seedily			7       |   indict	6       |   dried		5       |   hens		4       |
shakily			7       |   indent	6       |   droll		5       |   hide		4       |
sharply			7       |   indebt	6       |   drunk		5       |   high		4       |
shortly			7       |   impute	6       |   dusty		5       |   hike		4       |
shrilly			7       |   impose	6       |   eager		5       |   hill		4       |
sixthly			7       |   import	6       |   early		5       |   hint		4       |
sizably			7       |   impede	6       |   eerie		5       |   hire		4       |
sleekly			7       |   impart	6       |   eight		5       |   hold		4       |
slickly			7       |   impale	6       |   elite		5       |   hole		4       |
smartly			7       |   impair	6       |   empty		5       |   home		4       |
snidely			7       |   ignore	6       |   equal		5       |   hood		4       |
solidly			7       |   ignite	6       |   erect		5       |   hook		4       |
soundly			7       |   hustle	6       |   every		5       |   hope		4       |
spicily			7       |   hurtle	6       |   exact		5       |   horn		4       |
starkly			7       |   humble	6       |   extra		5       |   hose		4       |
steeply			7       |   huddle	6       |   faded		5       |   host		4       |
sternly			7       |   hollow	6       |   faint		5       |   hots		4       |
stiffly			7       |   hobble	6       |   fancy		5       |   hour		4       |
suavely			7       |   hinder	6       |   fatal		5       |   hubs		4       |
sulkily			7       |   hijack	6       |   fetid		5       |   hunt		4       |
sweetly			7       |   herald	6       |   fewer		5       |   hurt		4       |
swiftly			7       |   heckle	6       |   fiery		5       |   ices		4       |
tacitly			7       |   hasten	6       |   fifth		5       |   idea		4       |
tackily			7       |   harden	6       |   filmy		5       |   inks		4       |
tardily			7       |   harbor	6       |   final		5       |   ions		4       |
tastily			7       |   harass	6       |   first		5       |   iron		4       |
tenably			7       |   happen	6       |   fishy		5       |   itch		4       |
tensely			7       |   handle	6       |   fixed		5       |   item		4       |
tenthly			7       |   hamper	6       |   flaky		5       |   jack		4       |
tepidly			7       |   hammer	6       |   foamy		5       |   jail		4       |
tersely			7       |   ground	6       |   foggy		5       |   jams		4       |
testily			7       |   grieve	6       |   frail		5       |   jars		4       |
thickly			7       |   grease	6       |   frank		5       |   jeer		4       |
thirdly			7       |   govern	6       |   fresh		5       |   jerk		4       |
thistly			7       |   gossip	6       |   fried		5       |   jets		4       |
tightly			7       |   gobble	6       |   front		5       |   jobs		4       |
timidly			7       |   glance	6       |   funny		5       |   join		4       |
tipsily			7       |   giggle	6       |   furry		5       |   joke		4       |
tiredly			7       |   gather	6       |   fussy		5       |   jump		4       |
tonally			7       |   garner	6       |   fuzzy		5       |   jury		4       |
totally			7       |   gamble	6       |   gabby		5       |   keep		4       |
toughly			7       |   gallop	6       |   gaudy		5       |   keys		4       |
tritely			7       |   furrow	6       |   gaunt		5       |   kick		4       |
usually			7       |   fumble	6       |   gauzy		5       |   kill		4       |
utterly			7       |   freeze	6       |   gawky		5       |   kind		4       |
vaguely			7       |   foster	6       |   giant		5       |   king		4       |
validly			7       |   format	6       |   giddy		5       |   kiss		4       |
vapidly			7       |   forget	6       |   glass		5       |   kite		4       |
venally			7       |   forbid	6       |   gluey		5       |   knee		4       |
virally			7       |   follow	6       |   gooey		5       |   knot		4       |
visibly			7       |   flower	6       |   goofy		5       |   lace		4       |
vitally			7       |   flinch	6       |   grand		5       |   lack		4       |
vividly			7       |   flavor	6       |   great		5       |   lady		4       |
vocally			7       |   flaunt	6       |   green		5       |   lake		4       |
wearily			7       |   finish	6       |   grimy		5       |   lamb		4       |
weirdly			7       |   finger	6       |   gross		5       |   lamp		4       |
wispily			7       |   filter	6       |   gruff		5       |   land		4       |
wittily			7       |   figure	6       |   gushy		5       |   lans		4       |
woozily			7       |   fidget	6       |   gusty		5       |   laws		4       |
wordily			7       |   fiddle	6       |   gutsy		5       |   lead		4       |
wrongly			7       |   fathom	6       |   hairy		5       |   leaf		4       |
						|   fasten	6       |   handy		5       |   leap		4       |
						|   falter	6       |   happy		5       |   legs		4       |
						|   factor	6       |   hardy		5       |   life		4       |
						|   extend	6       |   harsh		5       |   lift		4       |
						|   expose	6       |   hasty		5       |   lily		4       |
